model,asset,cost_bps,run_type,total_return,annual_return,annual_vol,sharpe,sortino,max_drawdown,max_drawdown_days,max_drawdown_unrecovered,calmar,hit_rate,avg_win,avg_loss,win_loss_ratio,annual_turnover,n_periods,exposure
ridge,LTC,5.0,strategy,0.08141887465628339,0.011960260550641477,0.7343970371680257,0.3893714986203448,0.5471194003490484,-0.938737475865876,2136.0,True,0.012740793734275422,0.5247285886610374,0.031412930752772315,-0.032174280485461774,0.976336697473826,283.73699542238865,2403.0,0.6899708697461506
ridge,LTC,20.0,strategy,-0.7339600295100644,-0.18218854411121177,0.7343566218676717,0.09961172296863288,0.13872909701185518,-0.9583913834644793,2136.0,True,-0.19009827013742575,0.517490952955368,0.031236764022226825,-0.0323123310615984,0.966713418560822,283.73699542238865,2403.0,0.6899708697461506
ridge,LTC,,buy_and_hold,0.06463238827487028,0.009558414235000257,0.8702923429858902,0.4535805325972062,0.6485886289203336,-0.8944816915936048,1909.0,True,0.010685980858893855,0.5126924677486475,0.031119804467847866,-0.03073151635575482,1.0126348504121352,0.15189346650020807,2403.0,1.0
ridge_per_asset,BTC,0.0,strategy,-0.3091353582438886,-0.05462341640154389,0.48536140179114606,0.13678927041115294,0.185129576621209,-0.7903801836551264,1732.0,True,-0.06911030606680571,0.5183175033921302,0.02075685795148303,-0.021719918482601807,0.9556600301290168,194.1198501872659,2403.0,0.6133999167707033
ridge_per_asset,BTC,5.0,strategy,-0.4980994318819517,-0.09941277377648905,0.4853406268997915,0.03680357361391228,0.0496993764185014,-0.8000236206447995,1732.0,True,-0.12426229827609937,0.5169606512890095,0.020682489697247185,-0.021789269377832307,0.9492052871808945,194.1198501872659,2403.0,0.6133999167707033
ridge_per_asset,BTC,20.0,strategy,-0.8076720113818618,-0.2215141342348642,0.48537789993965674,-0.26315087309578805,-0.3529369208109262,-0.8619790530116701,2359.0,True,-0.2569831986762504,0.508819538670285,0.020631052931616503,-0.02182347009174949,0.9453607902354727,194.1198501872659,2403.0,0.6133999167707033
ridge_per_asset,BTC,,buy_and_hold,7.733396751772348,0.3898232652899021,0.606205968656746,0.8524648763508063,1.2415185031655376,-0.7662925431645935,847.0,False,0.5087133742422065,0.5081148564294632,0.022274962810972364,-0.020131596510650236,1.106467775627642,0.15189346650020807,2403.0,1.0
ridge_per_asset,ETH,0.0,strategy,-0.4384195084109175,-0.08391173070561697,0.6579313190616491,0.19599852032061824,0.28177550317551625,-0.789088726258461,1944.0,False,-0.1063400450586747,0.52648790058862,0.02896754266687017,-0.031035770859673354,0.9333598574962235,241.51061173533083,2403.0,0.636287973366625
ridge_per_asset,ETH,5.0,strategy,-0.6227074661061953,-0.13761700140216415,0.6578886693088394,0.10423634768917223,0.14940998333770886,-0.8231597360049498,2391.0,True,-0.16718140523984112,0.5232177894048398,0.02897208247360673,-0.030999920760573934,0.934585694504541,241.51061173533083,2403.0,0.636287973366625
ridge_per_asset,ETH,20.0,strategy,-0.8856795953249618,-0.28065844094055936,0.6578568538358015,-0.17109656313582927,-0.2430461705668105,-0.902239378691687,2391.0,True,-0.31106871144056536,0.5173315892740353,0.028776392881648957,-0.03115738892270643,0.9235816567632121,241.51061173533083,2403.0,0.636287973366625
ridge_per_asset,ETH,,buy_and_hold,13.243327980423626,0.49701463442734006,0.8131953192419099,0.9094840082246685,1.341403309758034,-0.7930253453633336,1383.0,False,0.6267323451050951,0.5172700790678318,0.029974732824367186,-0.027921955862407224,1.0735183800187766,0.15189346650020807,2403.0,1.0
