model,cost_bps,run_type,total_return,annual_return,annual_vol,sharpe,sortino,max_drawdown,max_drawdown_days,max_drawdown_unrecovered,calmar,hit_rate,avg_win,avg_loss,win_loss_ratio,annual_turnover,n_periods,exposure
lightgbm_per_asset,5.0,strategy,-0.507706459637366,-0.10205268269730294,0.6187127553256216,0.13705191967301203,0.1913901545133429,-0.9197219989267246,2294.0,True,-0.1109603584739671,0.5290381125226861,0.021273173025926056,-0.023320338693395642,0.9122154401621385,353.81051463448466,2403.0,0.9171868497711194
lightgbm_per_asset,20.0,strategy,-0.9144279225105878,-0.3116200412920961,0.6188772839888823,-0.29175754192902664,-0.40186353313124484,-0.9565161619798345,2294.0,True,-0.325786488172968,0.5086206896551724,0.021379255953057553,-0.023080228752439903,0.9263017356705127,353.81051463448466,2403.0,0.9171868497711194
lightgbm_per_asset,,buy_and_hold,6.035551003576172,0.34492803940437566,0.7038738525480865,0.7819133561112911,1.1036649767080824,-0.7761957166740102,1346.0,False,0.44438281736774893,0.521431543903454,0.025693785937738096,-0.024844286707364376,1.03419294103227,0.15189346650020807,2403.0,1.0
majority_class,0.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
majority_class,5.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
majority_class,20.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
majority_class,,buy_and_hold,6.035551003576172,0.34492803940437566,0.7038738525480865,0.7819133561112911,1.1036649767080824,-0.7761957166740102,1346.0,False,0.44438281736774893,0.521431543903454,0.025693785937738096,-0.024844286707364376,1.03419294103227,0.15189346650020807,2403.0,1.0
persistence,0.0,strategy,-0.9912704466129167,-0.5133125570019996,0.6260998563536923,-0.832699565288365,-1.1291277311798193,-0.9943184700832218,2395.0,True,-0.5162456219475001,0.4701461377870564,0.022026991351260104,-0.02224960787244797,0.9899945867601768,441.5543071161049,2403.0,0.9966708281315023
persistence,5.0,strategy,-0.9957886677777191,-0.5643227894577638,0.6261630410695668,-1.0089092034444538,-1.3598202687813696,-0.9970161992716327,2395.0,True,-0.5660116554475526,0.46346555323590816,0.022037635492945653,-0.022271506245748855,0.989499104810307,441.5543071161049,2403.0,0.9966708281315023
persistence,20.0,strategy,-0.9995280373569603,-0.6875444097428314,0.6264725405798017,-1.5370304729362265,-2.034319774310003,-0.9995919504665142,2402.0,True,-0.6878250764443944,0.444258872651357,0.022069884449040626,-0.022399486989028418,0.9852852638924616,441.5543071161049,2403.0,0.9966708281315023
persistence,,buy_and_hold,6.035551003576172,0.34492803940437566,0.7038738525480865,0.7819133561112911,1.1036649767080824,-0.7761957166740102,1346.0,False,0.44438281736774893,0.521431543903454,0.025693785937738096,-0.024844286707364376,1.03419294103227,0.15189346650020807,2403.0,1.0
ridge,0.0,strategy,0.43078138615925354,0.055918903882789195,0.6751490215394186,0.42535955990135066,0.5965135325443562,-0.817958022003839,1531.0,False,0.06836402648854606,0.5207311636201516,0.024752689700485376,-0.025135318285393598,0.9847772532432751,400.3911776945485,2403.0,0.9334165626300458
ridge,5.0,strategy,-0.25962794159508984,-0.04463283485724778,0.6750206949963197,0.2771519416115347,0.38673606477024486,-0.8503757372544334,1685.0,False,-0.05248601635948791,0.5162728488631297,0.024684803740206863,-0.025177952366627416,0.9804134736916015,400.3911776945485,2403.0,0.9334165626300458
ridge,20.0,strategy,-0.897574343055327,-0.29256334934061,0.6747393008504172,-0.16778344892913152,-0.23063008015197103,-0.930463131241521,2128.0,True,-0.31442766458703364,0.5064645563976817,0.024319353221676325,-0.02550235848821636,0.9536119270268021,400.3911776945485,2403.0,0.9334165626300458
ridge,,buy_and_hold,6.035551003576172,0.34492803940437566,0.7038738525480865,0.7819133561112911,1.1036649767080824,-0.7761957166740102,1346.0,False,0.44438281736774893,0.521431543903454,0.025693785937738096,-0.024844286707364376,1.03419294103227,0.15189346650020807,2403.0,1.0
ridge_per_asset,0.0,strategy,0.04492123213910082,0.006696751396824352,0.641899455935181,0.33782317402568535,0.4704225340145107,-0.8959127250398915,1952.0,False,0.007474780979951113,0.528099910793934,0.02217057289033451,-0.02346155270189195,0.9449746643812992,367.73408239700376,2403.0,0.9330004161464835
ridge_per_asset,5.0,strategy,-0.429677225772085,-0.08175974104252359,0.6418578670789615,0.19461472300496918,0.2697679317401841,-0.9176518523679151,2401.0,True,-0.08909668828276235,0.524085637823372,0.022087029670456722,-0.023519094957106156,0.939110527456043,367.73408239700376,2403.0,0.9330004161464835
ridge_per_asset,20.0,strategy,-0.9073877308048428,-0.3033033852722177,0.6418230861498249,-0.23508903628374342,-0.3214117377890464,-0.9598471271445298,2401.0,True,-0.31599134559533615,0.508028545941124,0.022021254678650907,-0.02351366594327199,0.9365300473256017,367.73408239700376,2403.0,0.9330004161464835
