feature,gain,model,fold
vol_ret_corr_21,0.009308279975286321,ridge,6
px_dist_max_21,0.009244854190186627,ridge,6
xa_excess_ret_lag1,0.008575869377144272,ridge,6
tech_obv_zscore_21,0.008370462913038754,ridge,6
xa_ref_ret_mean_5,0.008271976636597697,ridge,6
aux_fng_chg_7,0.0077955715112095775,ridge,6
tech_rsi_14,0.007486509938945719,ridge,6
rng_parkinson_5,0.007251000668028172,ridge,6
tech_stoch_d_14,0.006889778776063446,ridge,6
xa_market_ret_mean_5,0.006820087469453402,ridge,6
aux_txcnt_chg_7,0.006791622049580466,ridge,6
px_ret_std_10,0.0063424974967612605,ridge,6
vol_taker_buy_ratio_dev,0.0060731862698713834,ridge,6
vol_taker_buy_ratio,0.006073186269871366,ridge,6
rng_tr_norm,0.00584147218381483,ridge,6
cal_dom_sin,0.0057542546240023,ridge,6
rng_parkinson_21,0.005599857769446161,ridge,6
tech_bb_pos_20,0.005462726266166934,ridge,6
px_ret_5,0.005133091808242272,ridge,6
px_ret_mean_5,0.005133091808242267,ridge,6
aux_adractcnt_z63,0.004279041357035479,ridge,6
xa_corr_ref_30,0.0041185786372278125,ridge,6
aux_fng_z_63,0.003907275810423484,ridge,6
px_ret_std_5,0.0038319772220912936,ridge,6
