model,cost_bps,run_type,total_return,annual_return,annual_vol,sharpe,sortino,max_drawdown,max_drawdown_days,max_drawdown_unrecovered,calmar,hit_rate,avg_win,avg_loss,win_loss_ratio,annual_turnover,n_periods,exposure
lightgbm,20.0,strategy,-0.7954786987024333,-0.2142114638169027,0.6076276866970973,-0.09336050963430612,-0.1331617123224808,-0.9228781776362356,2137.0,True,-0.23211239468849693,0.5095619987661937,0.026296972681642106,-0.027384622080726683,0.960282475475531,323.3558746011929,2403.0,0.6745734498543488
lightgbm,,buy_and_hold,17.812878219435774,0.5616417993983915,0.7405859594766095,0.9817778793167624,1.395617591627961,-0.8296687242272882,1105.0,False,0.6769470548880536,0.5255930087390761,0.02759091339052212,-0.026368838392533976,1.0463454240871741,0.2278401997503121,2403.0,1.0
majority_class,0.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
majority_class,5.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
majority_class,20.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
majority_class,,buy_and_hold,17.812878219435774,0.5616417993983915,0.7405859594766095,0.9817778793167624,1.395617591627961,-0.8296687242272882,1105.0,False,0.6769470548880536,0.5255930087390761,0.02759091339052212,-0.026368838392533976,1.0463454240871741,0.2278401997503121,2403.0,1.0
persistence,0.0,strategy,-0.9802029509064542,-0.44885643757935334,0.6464219162034125,-0.5941595902262428,-0.8155702136282889,-0.9879961741770897,2395.0,True,-0.4543098944216152,0.4752186588921283,0.023231512701064414,-0.02304425058581988,1.0081261967946036,435.78235538909695,2403.0,0.9991677070328756
persistence,5.0,strategy,-0.9903549097250848,-0.5058835688020156,0.6464582305849715,-0.762653093991589,-1.0406617422181814,-0.9936790675954553,2395.0,True,-0.5091015653838548,0.46938775510204084,0.02322158377082322,-0.02308954054626085,1.0057187462997723,435.78235538909695,2403.0,0.9991677070328756
persistence,20.0,strategy,-0.9988865538624336,-0.6440341388270387,0.6466705151800858,-1.2678174077651638,-1.6994092465429618,-0.9990832921136197,2402.0,True,-0.6446250717140375,0.4539775093710954,0.023112718998995745,-0.023332161293000697,0.9905948578338183,435.78235538909695,2403.0,0.9991677070328756
persistence,,buy_and_hold,17.812878219435774,0.5616417993983915,0.7405859594766095,0.9817778793167624,1.395617591627961,-0.8296687242272882,1105.0,False,0.6769470548880536,0.5255930087390761,0.02759091339052212,-0.026368838392533976,1.0463454240871741,0.2278401997503121,2403.0,1.0
zero,0.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
zero,5.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
zero,20.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
zero,,buy_and_hold,17.812878219435774,0.5616417993983915,0.7405859594766095,0.9817778793167624,1.395617591627961,-0.8296687242272882,1105.0,False,0.6769470548880536,0.5255930087390761,0.02759091339052212,-0.026368838392533976,1.0463454240871741,0.2278401997503121,2403.0,1.0
